Student Name,LRN,Grade Level,Section,Email
Juan Dela Cruz,123456789001,Grade 12,STEM-A,jdc20259001@bshs.edu.ph
Maria Santos,123456789002,Grade 12,STEM-A,ms20259002@bshs.edu.ph
Jose Carreon,123456789003,Grade 12,STEM-A,jc20259003@bshs.edu.ph
Ana Lopez,123456789004,Grade 12,STEM-A,al20259004@bshs.edu.ph
Miguel Reyes,123456789005,Grade 12,STEM-A,mr20259005@bshs.edu.ph
Karen Tan,123456789006,Grade 12,STEM-A,kt20259006@bshs.edu.ph
Ramon Garcia,123456789007,Grade 12,STEM-A,rg20259007@bshs.edu.ph
Lisa Cruz,123456789008,Grade 12,STEM-A,lc20259008@bshs.edu.ph
Neil Domingo,123456789009,Grade 12,STEM-A,nd20259009@bshs.edu.ph
Patricia Ramos,123456789010,Grade 12,STEM-A,pr20259010@bshs.edu.ph
Aldo Sanchez,123456789011,Grade 12,STEM-A,as20259011@bshs.edu.ph
Ellen Flores,123456789012,Grade 12,STEM-A,ef20259012@bshs.edu.ph
Mark Villanueva,123456789013,Grade 12,STEM-A,mv20259013@bshs.edu.ph
Rhea Gomez,123456789014,Grade 12,STEM-A,rg20259014@bshs.edu.ph
John Lim,123456789015,Grade 12,STEM-A,jl20259015@bshs.edu.ph
Bea Navarro,123456789016,Grade 12,STEM-A,bn20259016@bshs.edu.ph
Carlos Torres,123456789017,Grade 12,STEM-A,ct20259017@bshs.edu.ph
Maya Serrano,123456789018,Grade 12,STEM-A,ms20259018@bshs.edu.ph
Oliver Reyes,123456789019,Grade 12,STEM-A,or20259019@bshs.edu.ph
Zara Alcantara,123456789020,Grade 12,STEM-A,za20259020@bshs.edu.ph
