Student Name,LRN,Grade Level,Section,Email
MIDZCARL S. ABUHARIS,123456789001,Grade 12,ICT-A,midzcarl.abuharis@bshs.edu.ph
REUEL JON E. AGUTAYA,123456789002,Grade 12,ICT-A,reueljon.agutaya@bshs.edu.ph
RHANIEL L. ALARCON,123456789003,Grade 12,ICT-A,rhaniel.alarcon@bshs.edu.ph
CHRIS JUSTINE M. APA-AP,123456789004,Grade 12,ICT-A,chrisjustine.apaap@bshs.edu.ph
ERVIN B. BEATINGO,123456789005,Grade 12,ICT-A,ervin.beatingo@bshs.edu.ph
HASMIER S. DAWANI,123456789006,Grade 12,ICT-A,hasmier.dawani@bshs.edu.ph
RAZAN S. DURAN,123456789007,Grade 12,ICT-A,razan.duran@bshs.edu.ph
AARON JOHN C. GENGOS,123456789008,Grade 12,ICT-A,aaronjohn.gengos@bshs.edu.ph
ALJUN K. HADJIRIL,123456789009,Grade 12,ICT-A,aljun.hadjiril@bshs.edu.ph
AMIR C. IBRAHIM,123456789010,Grade 12,ICT-A,amir.ibrahim@bshs.edu.ph
JAMIN T. JIKIRI,123456789011,Grade 12,ICT-A,jamin.jikiri@bshs.edu.ph
RAM LAURENCE F. MAHINAY,123456789012,Grade 12,ICT-A,ramlaurence.mahinay@bshs.edu.ph
JAY-DHEN G. MERCADO,123456789013,Grade 12,ICT-A,jaydhen.mercado@bshs.edu.ph
RAIVER JHON E. MONDIJAR,123456789014,Grade 12,ICT-A,raiverjhon.mondijar@bshs.edu.ph
JAYSON M. MOSCOSO,123456789015,Grade 12,ICT-A,jayson.moscoso@bshs.edu.ph
SAHIBUDDIN II A. PANASANG,123456789016,Grade 12,ICT-A,sahibuddin.panasang@bshs.edu.ph
EARL CHRISTIAN O. PARTOSA,123456789017,Grade 12,ICT-A,earlchristian.partosa@bshs.edu.ph
ERIC L. RAMIREZ,123456789018,Grade 12,ICT-A,eric.ramirez@bshs.edu.ph
ALEXANDER C. SADDARI,123456789019,Grade 12,ICT-A,alexander.saddari@bshs.edu.ph
ABDEL-AZIZ N. SAMPANG,123456789020,Grade 12,ICT-A,abdelaziz.sampang@bshs.edu.ph
ERIKSON P. SAN JUAN,123456789021,Grade 12,ICT-A,erikson.sanjuan@bshs.edu.ph
JAY-E F. SANSON,123456789022,Grade 12,ICT-A,jaye.sanson@bshs.edu.ph
JOHN CARLO H. SARONA,123456789023,Grade 12,ICT-A,johncarlo.sarona@bshs.edu.ph
AL-FAUZAN S. TAHIR,123456789024,Grade 12,ICT-A,alfauzan.tahir@bshs.edu.ph
ADAM RAHMIR O. TALLOW,123456789025,Grade 12,ICT-A,adamrahmir.tallow@bshs.edu.ph
AERON T. VILAN,123456789026,Grade 12,ICT-A,aeron.vilan@bshs.edu.ph
ARIEL C. YBAÑEZ,123456789027,Grade 12,ICT-A,ariel.ybanez@bshs.edu.ph
KRESHNA S. ACOBA,123456789028,Grade 12,ICT-A,kreshna.acoba@bshs.edu.ph
KHRISSEL L. BAHONSUA,123456789029,Grade 12,ICT-A,khrissel.bahonsua@bshs.edu.ph
PRINCESS LYN A. BUENBRAZO,123456789030,Grade 12,ICT-A,princesslyn.buenbrazo@bshs.edu.ph
MARIANNE JANE M. FERNANDEZ,123456789031,Grade 12,ICT-A,mariannejane.fernandez@bshs.edu.ph
BRIANNA LEE B. GONZALES,123456789032,Grade 12,ICT-A,briannalee.gonzales@bshs.edu.ph
RHADZMALYN L. KAMDON,123456789033,Grade 12,ICT-A,rhadzmalyn.kamdon@bshs.edu.ph
ELAINE V. MANDIANG,123456789034,Grade 12,ICT-A,elaine.mandiang@bshs.edu.ph
